RX-4616,Авиакомпания СОКОЛ,Алжир
TS-3185,Авиасервис (Казань) (ИНН 1624446694),Индонезия
IY-7731,Меридиан,Испания
MO-2050,Газпром авиа ООО,Абхазия
SJ-3411,АэроБратск,Британская территория в Индийском океане
BH-3485,Ангара АК ЗАО,Гибралтар
SB-1039,РусДжет,Бенин
RM-8857,Тулпар Эйр,Гуам
UJ-2969,РУССЭЙР,Бонайре, Саба и Синт-Эстатиус
TV-4139,Газпром авиа ООО,Гваделупа
IJ-2027,Глобус,Венгрия
UG-2392,Норильск Авиа,Босния и Герцеговина
Ae-6485,Арт Авиа,Ангола
AJ-3855,Икар ООО,Босния и Герцеговина
AG-7680,ВОЛГА-ДНЕПР,Джибути
IQ-8786,Аврора,Египет
BV-8080,БАРКОЛ,Ангола
ST-1149,Авиасервис (Казань) (ИНН 1624446694),Гамбия
SG-7069,Комиавиатранс ОАО,Венгрия
ZU-6027,Авиакомпания «Лайт Эйр»,Бразилия
KS-8740,Арт Авиа,Ангола
TY-4597,Аэросервис (Даг.),Казахстан
AS-2713,Авиа Менеджмент Груп,Камерун
VS-7641,Роствертол-Авиа, ЗАО,Египет
WT-5502,Псковавиа,Бутан
LN-9645,Ред Вингс АО,Джибути
ZK-4421,АЭРОКУЗБАСС,Азербайджан
GD-1385,Аэросервис (Чита),Египет
FT-2300,Ангара АК ЗАО,Андорра
RN-5124,ВЗЛЕТ НПО, ЗАО,Азербайджан
NX-8193,Вертикаль-Т ООО,Беларусь
XY-3451,ПАНХ АК ООО (Улан-Удэ),Коста-Рика
MI-6866,Восток,Бахрейн
UF-3891,Костромское АП ОАО,Беларусь
XO-3687,Авиастар-ТУ,Вьетнам
OF-1299,Икар ООО,Колумбия
SB-1433,Икар ООО,Гамбия
CN-6576,Костромское АП ОАО,Колумбия
DP-3334,МАЦ,Гренада
FI-2498,ИрАэро АК АО,Гватемала
ZX-9903,Северный Ветер,Бруней-Даруссалам
JZ-3679,МЧС России ФГУАП,Гренландия
RH-9151,Роствертол-Авиа, ЗАО,Американское Самоа
KK-4136,МАЦ,name
XA-5535,АэроГео,Андорра
AG-9840,Авиакомпания СОКОЛ,Босния и Герцеговина
MR-9946,Икар ООО,Индонезия
GY-4532,ДОНАВИА,Венгрия
YY-6504,Ижавиа ОАО,Бонайре, Саба и Синт-Эстатиус
MN-8055,Петрозаводск Аэропорт,Джерси
RC-6779,Дальнереченск Авиа,Джибути
OH-5409,Арт Авиа,Беларусь
SU-6641,Глобус,Боливия, Многонациональное Государство
WQ-5545,ИрАэро АК АО,Барбадос
FB-1580,Победа,Армения
SC-5182,ВИТЯЗЬ-АЭРО АК ООО,Виргинские острова, США
HR-9408,СКОЛ,Бахрейн
OP-9093,Ай Флай,Антарктида
YI-8042,РУССЭЙР,Бахрейн
NR-2541,АэроБратск,Испания
KA-9248,Петрозаводск Аэропорт,name
eZ-4270,Амур,Бруней-Даруссалам
XF-3928,АэроГео,Бонайре, Саба и Синт-Эстатиус
IO-9617,Камчатское АП ОАО,Колумбия
QI-1171,Икар ООО,Армения
DP-2962,ТУРУХАН,Израиль
UY-2494,Аэролимузин,Антарктида
WH-8849,Икар ООО,Киргизия
WH-6931,РусЛайн,Антарктида
HI-9323,Авиастар-ТУ,Бахрейн
YI-2327,Авиакон Цитотранс,Ботсвана
KW-5298,Грозный Авиа ПАО,Ангилья
NU-9379,Авиалифт Владивосток,Бельгия
BQ-7005,Вологодское АП,Гренландия
HO-4039,СИМАРГЛ,Гана
WP-6742,Сибирь,Австралия
LK-5930,ВЕКТОР АПК ООО,Гвинея-Бисау
ZN-2579,ПАНХ АК ООО (Улан-Удэ),Абхазия
RH-6957,Аврора,Катар
OQ-4114,СиЛА,Андорра
AW-1168,Сибирь,Ирак
PD-5194,Костромское АП ОАО,Армения
Ze-5152,БАРКОЛ,Бонайре, Саба и Синт-Эстатиус
NF-4870,Авиасервис (Казань) (ИНН 1624446694),Ботсвана
GB-2916,АЛРОСА Авиакомпания АО,Гренландия
eX-8878,БАРКОЛ,Кипр
MT-9580,Ангара АК ЗАО,Австрия
IF-7776,Норильск Авиа,Израиль
WU-7237,СИМАРГЛ,Израиль
Ne-5111,Ельцовка АП ЗАО,Кокосовые (Килинг) острова
TP-3849,Летные  проверки и системы,Кабо-Верде
DW-2645,Нордавиа-регион.АЛ,name
Oe-7102,Камчатское АП ОАО,Алжир
QZ-9495,Авиакомпания СОКОЛ,Ангилья
SI-6131,АэроБратск,Албания
SP-1798,Петрозаводск Аэропорт,Дания
NW-6541,Летные  проверки и системы,Британская территория в Индийском океане
SI-7016,СИБИА,Корея, Народно-Демократическая Республика
NM-3056,Северо-Запад,Антарктида
BX-9344,Авиастар-ТУ,Антарктида
WV-7858,Камчатское АП ОАО,Беларусь
RA-1012,Амур,Израиль
JM-4073,Казанское авиапредприятие,Алжир
WO-2672,Амур,Коста-Рика
QJ-8293,Ай Флай,Босния и Герцеговина
BR-9363,Амур,Камерун
YI-6742,Аэропорт Оренбург,Босния и Герцеговина
DM-9325,СЕВЕРСТАЛЬ АП ООО,Джибути
ZC-1113,СиЛА,Британская территория в Индийском океане
TU-8339,Комиавиатранс ОАО,Камерун
CA-6474,Аэрофлот ПАО,Барбадос
OA-6770,Авиа Менеджмент Груп,Казахстан
QA-8546,Полярные авиалинии АО,Кения
IT-9365,Псковавиа,Алжир
BL-3405,Аэрофлот ПАО,Грузия
NI-5706,Аэросервис (Даг.),Кипр
RW-2840,ПАНХ АК ООО (Улан-Удэ),Ирландия
GZ-6372,Джет Эйр Групп,Азербайджан
YI-9854,Когалымавиа ООО,Вьетнам
GO-9247,Уктус,Алжир
QO-8029,Ижавиа ОАО,Джерси
WI-8658,АЭРОКУЗБАСС,Барбадос
PI-3794,Вертикаль-Т ООО,Казахстан
PH-9128,СиЛА,Гаити
HF-7715,Космос,Австрия
OS-2132,КрасАвиа,Гаити
XV-4056,Оренбургские АЛ АО,Беларусь
UV-6947,Балтийские авиалинии,Гренада
Xe-3763,ВИМ-АВИА,Бангладеш
NX-8547,Абакан Эир,Бонайре, Саба и Синт-Эстатиус
YB-9541,Россия Авиакомпания АО,Германия
WC-9040,Аврора,Антарктида
MZ-2766,РусДжет,Афганистан
KD-9092,Меридиан,Иран, Исламская Республика
PZ-2253,Авиакон Цитотранс,Замбия
ZA-5571,Грозный Авиа ПАО,Гибралтар
ZM-4117,ВИМ-АВИА,Босния и Герцеговина
FG-2670,Камчатское АП ОАО,Испания
GJ-7894,АэроБратск,Кения
DT-8681,ТУРУХАН,Италия
TH-7971,ПАНХ НПК ОАО,Аруба
ZF-2188,РКП «АК «Тува Авиа»,Гонконг
LK-3218,Вертикаль-Т ООО,Камбоджа
LR-7494,ТУРУХАН,Ангилья
PK-5379,Северный Ветер,Багамы
WH-6705,МАЦ,Бразилия
JP-5852,Аэрофлот ПАО,Аргентина
HV-7361,Геликс,Гайана
PX-9971,Авиастар-ТУ,Ангилья
BS-3193,Восток,Бразилия
HB-5461,СИМАРГЛ,Гаити
eG-7375,ВОЛГА-ДНЕПР,Барбадос
SO-5692,СиЛА,Грузия
RM-1328,Конверс Авиа,Бенин
PL-7427,ВОЛГА-ДНЕПР,Венгрия
JH-6636,ВОЛГА-ДНЕПР,Гренландия
CZ-1580,Сибирь,Гренландия
FS-6899,Аэросервис (Даг.),Виргинские острова, США
QV-4191,Бурал,Боливия, Многонациональное Государство
MK-7914,Оренбургские АЛ АО,Конго
XU-1353,Абакан Эир,Гаити
PT-7224,Дальнереченск Авиа,Антигуа и Барбуда
Ge-3500,Роствертол-Авиа, ЗАО,Исландия
DC-8500,АЭРОКУЗБАСС,Конго
GO-2687,Уктус,Гамбия
MP-2056,РОЯЛ ФЛАЙТ,Буркина-Фасо
ID-6080,Авиашельф,Абхазия
CH-3126,Грозный Авиа ПАО,Габон
YN-5398,Аэросервис (Даг.),Джерси
XQ-4860,Вертикаль-Т ООО,Кирибати
IM-2714,Аврора,Кабо-Верде
JU-9071,Икар ООО,Дания
KD-7690,АЭРОКУЗБАСС,Гернси
SU-7323,Авиакомпания «Лайт Эйр»,Камбоджа
WO-4137,Арго,Киргизия
CV-1802,Ангара АК ЗАО,Доминиканская Республика
MS-5185,МЧС России ФГУАП,Андорра
WM-8865,Восток,Гватемала
SA-1429,Аэросервис (Чита),Иордания
eG-4347,Уктус,Аруба
HA-5937,Нордавиа-регион.АЛ,Бутан
FU-7789,Камчатское АП ОАО,Германия
TB-9058,Северо-Запад,Китай
MT-9452,Ай Флай,Буркина-Фасо
MR-7111,Ангара АК ЗАО,Бутан
GL-9558,Аэрофлот ПАО,Бурунди
VA-1277,Россия СЛО,Израиль
Ae-6320,Россия Авиакомпания АО,Виргинские острова, США
XK-1694,Норильск Авиа,Гонконг
BK-5625,СИБИА,Вьетнам
IZ-2164,АЗУР эйр,Афганистан
TD-9222,Икар ООО,Гонконг
LN-1830,Роствертол-Авиа, ЗАО,Германия
WO-8315,Таймыр ОАО,Израиль
eH-3357,Авиасервис (Казань) (ИНН 1624446694),Грузия
JH-6036,Роствертол-Авиа, ЗАО,Британская территория в Индийском океане
QD-2529,Летные  проверки и системы,Афганистан
JS-2144,РКП «АК «Тува Авиа»,Доминиканская Республика
MV-1980,Геликс,Бахрейн
HY-8920,РКП «АК «Тува Авиа»,Абхазия
FR-9590,ПАНХ АК ООО (Улан-Удэ),Испания
GP-3245,Аврора,Афганистан
JJ-1645,Аэролимузин,name
WP-1781,Авиакон Цитотранс,Доминика
GV-8789,Амурская авиабаза,Гренада
TZ-4325,Камчатское АП ОАО,Бруней-Даруссалам
IS-5120,Камчатское АП ОАО,Виргинские острова, Британские
We-2431,Уктус,Гуам
OY-2137,Бурал,Британская территория в Индийском океане
LH-7816,МАЦ,Канада
SN-6151,Уральские авиалинии,Иран, Исламская Республика
NI-5057,Икар ООО,Гернси
MM-6900,Победа,Бангладеш
CC-7225,Джет Эйр Групп,Армения
ZB-9771,Вертикаль-Т ООО,Иран, Исламская Республика
GV-6322,ВЕКТОР АПК ООО,Буркина-Фасо
QF-1167,Таймыр ОАО,Индонезия
VO-3140,АЭРОКУЗБАСС,Алжир
XQ-9761,Меридиан,Бенин
YJ-7368,Казанское авиапредприятие,Гондурас
WR-7682,Газпром авиа ООО,Гаити
PJ-1827,РОЯЛ ФЛАЙТ,Йемен
WG-5998,РОЯЛ ФЛАЙТ,Гвинея
AR-6481,ВИМ-АВИА,Йемен
NA-8258,Аэропорт Оренбург,Йемен
WT-9843,Амурская авиабаза,Китай
MA-3364,АэроГео,Корея, Республика
LY-8367,Норильск Авиа,Кипр
XC-9533,ДОНАВИА,Гернси
HY-3818,Таймыр ОАО,Алжир
SL-1175,Ельцовка АП ЗАО,Бурунди
SG-4264,БАРКОЛ,Аруба
DB-4771,Космос,Белиз
IA-6097,Вологодское АП,Гондурас
AJ-1847,Аврора,Катар
TJ-5207,Аэролимузин,Аргентина
NI-5096,Алтайские Авиалинии,Багамы
FW-6309,Ай Флай,Катар
YP-3564,Аэролимузин,Иран, Исламская Республика
KU-7283,РусДжет,Греция
TB-2084,Сибирь,Гибралтар
WQ-2706,Таймыр ОАО,Гондурас
Ue-9240,Аэролимузин,Гайана
MH-4519,ПАНХ АК ООО (Улан-Удэ),Аргентина
TU-6668,СИРИУС-АЭРО,Гондурас
SN-3543,ВИТЯЗЬ-АЭРО АК ООО,Джерси
KM-8065,ВЕКТОР АПК ООО,Гонконг
YV-7061,Авиакомпания СОКОЛ,Коморы
VQ-5969,Аврора,Джерси
HY-6725,АЗУР эйр,Казахстан
ZU-3538,АЭРОКУЗБАСС,Бермуды
ST-5047,Конверс Авиа,Колумбия
IL-9772,ВОЛГА-ДНЕПР,Антарктида
KJ-8105,Оренбургские АЛ АО,Бонайре, Саба и Синт-Эстатиус
HQ-9306,Авиасервис (Казань) (ИНН 1624446694),Виргинские острова, США
XB-2868,МАЦ,Боливия, Многонациональное Государство
BX-6606,Дельта К,Доминика
HW-4083,ПАНХ НПК ОАО,Бразилия
II-5858,Псковавиа,Буркина-Фасо
AR-6546,ВИТЯЗЬ-АЭРО АК ООО,Канада
PT-4024,Универсал-Авиа ГУП РК,Кокосовые (Килинг) острова
PD-9789,Икар ООО,Гватемала
GV-4370,Тулпар Эйр,Гамбия
IN-3443,КрасАвиа,Бонайре, Саба и Синт-Эстатиус
XC-3302,Абакан Эир,Белиз
AW-7731,Оренбургские АЛ АО,Бангладеш
SY-4078,Геликс,Гибралтар
CQ-6047,Саратовские авиалинии,Албания
OX-4997,Саратовские авиалинии,Исландия
JK-1242,Грозный Авиа ПАО,Египет
QP-2784,Россия СЛО,Гайана
ZP-2834,ВИМ-АВИА,Казахстан
OB-9507,Роствертол-Авиа, ЗАО,Камерун
XY-2603,Ай Флай,Бразилия
YO-4083,Нарьян-Марский ОАО,Исландия
DQ-8417,ЛУКОЙЛ-АВИА ООО,Замбия
TW-4703,Авиакон Цитотранс,Камбоджа
LF-1093,Оренбургские АЛ АО,Аруба
SJ-2667,Амурская авиабаза,Гайана
XY-5709,Джет Эйр Групп,Гибралтар
FS-9072,Ижавиа ОАО,Буркина-Фасо
JR-5186,МАЦ,Гайана
VY-5672,ИрАэро АК АО,Грузия
JT-3858,Ижавиа ОАО,Конго, Демократическая Республика
VP-3384,Ельцовка АП ЗАО,Кипр
XL-1459,Казанское авиапредприятие,Бенин
FM-5784,РусЛайн,Иран, Исламская Республика
GV-1515,Вологодское АП,Гренландия
ON-2824,Саратовские авиалинии,Зимбабве
YD-1858,Авиасервис (Казань) (ИНН 1624446694),Гондурас
TV-7027,Газпром авиа ООО,Бразилия
SR-5372,Саратовские авиалинии,Исландия
WU-9081,Когалымавиа ООО,Бермуды
CA-5275,Россия Авиакомпания АО,Зимбабве
CD-8436,АТРАН,Гватемала
AP-7170,АЗУР эйр,Азербайджан
TM-3075,РУССЭЙР,Бангладеш
TA-6654,ВИМ-АВИА,Вьетнам
VC-9612,Грозный Авиа ПАО,Габон
FD-5360,Аэролимузин,Ангола
PB-8241,БАРКОЛ,Гренландия
LQ-3238,Псковавиа,Бахрейн
XQ-1287,Газпром авиа ООО,Джибути
NS-5416,Нижневартовскавиа,Абхазия
GT-8297,МЧС России ФГУАП,Гайана
PB-1109,Ай Флай,Армения
eF-7673,Полярные авиалинии АО,Ирак
SG-6674,Когалымавиа ООО,Гамбия
FK-7909,Сибирь,Германия
WP-8308,Арт Авиа,Корея, Народно-Демократическая Республика
JC-6950,Икар ООО,Гана
TQ-1625,Авиакомпания СОКОЛ,Боливия, Многонациональное Государство
ZI-7702,АЛРОСА Авиакомпания АО,Гана
IX-3406,Газпром авиа ООО,Гана
NF-8484,ВЗЛЕТ НПО, ЗАО,Джерси
OC-7962,СКОЛ,Виргинские острова, США
CY-7192,МЧС России ФГУАП,Аруба
SI-6657,Алтайские Авиалинии,Замбия
KN-4704,МАЦ,Кения
NB-5381,Комиавиатранс ОАО,Корея, Народно-Демократическая Республика
UH-3567,Камчатское АП ОАО,Аргентина
ZM-5768,АЭРОКУЗБАСС,Исландия
GS-7966,Ижавиа ОАО,Дания
OB-4463,Ред Вингс АО,Афганистан
RI-8476,Вологодское АП,Болгария
BS-5827,АРКТИКА,Армения
MP-8312,Нордавиа-регион.АЛ,Бенин
XB-9924,Комиавиатранс ОАО,Бахрейн
BC-6019,Ангара АК ЗАО,Кения
CM-5220,МЧС России ФГУАП,Кабо-Верде
NI-2892,Амур,Ирландия
Ie-6823,Абакан Эир,Грузия
MB-7152,Аэросервис (Даг.),Греция
GD-2509,Балтийские авиалинии,Конго, Демократическая Республика
BK-4341,Летные  проверки и системы,Замбия
HK-7017,Когалымавиа ООО,Кирибати
RS-8660,Грозный Авиа ПАО,Гернси
YW-3809,СИМАРГЛ,Виргинские острова, США
DN-8405,Северный Ветер,Джибути
UH-9600,Уральские авиалинии,Вануату
VN-6847,Северный Ветер,Босния и Герцеговина
AI-9544,Глобус,Виргинские острова, США
CM-3220,Авиасервис (Казань) (ИНН 1624446694),Испания
QG-3996,Летные  проверки и системы,Американское Самоа
RW-3008,Авиакомпания «Лайт Эйр»,Гвинея
VN-4482,Нордавиа-регион.АЛ,name
YF-3963,Ред Вингс АО,Багамы
NS-4777,Вертикаль-Т ООО,Йемен
RL-4190,Арт Авиа,Греция
SB-2770,СИРИУС-АЭРО,Бенин
TK-5078,ПАНХ АК ООО (Улан-Удэ),Американское Самоа
SQ-2250,Комиавиатранс ОАО,Индия
AM-6011,Геликс,Антарктида
TO-7897,Псковавиа,Коморы
AU-8656,Нижневартовскавиа,Алжир
QO-2434,Бурал,Ангола
UN-5634,ВЗЛЕТ НПО, ЗАО,Виргинские острова, Британские
GV-4608,Ай Флай,Исландия
DW-7067,Таймыр ОАО,Гаити
Le-2645,РУССЭЙР,Индия
MC-4413,Амур,Бонайре, Саба и Синт-Эстатиус
GZ-9608,РусДжет,Белиз
AA-8725,Нарьян-Марский ОАО,Кабо-Верде
GL-4348,Авиашельф,Кипр
UT-2754,Аврора,Бонайре, Саба и Синт-Эстатиус
DA-7293,Ай Флай,Коморы
VZ-7680,Авиалифт Владивосток,Ирландия
RW-6927,Сибирь,Индонезия
LZ-2978,Газпром авиа ООО,Ботсвана
GI-3700,Балтийские авиалинии,Антигуа и Барбуда
GC-2166,РКП «АК «Тува Авиа»,Джерси
ZF-6849,Победа,Кирибати
NX-3382,КрасАвиа,Иордания
eW-5069,Вертикаль-Т ООО,Джибути
PP-7785,Роствертол-Авиа, ЗАО,Гренада
UQ-9592,Аэрофлот ПАО,Гаити
DW-3742,Авиастар-ТУ,Греция
UV-9872,Балтийские авиалинии,Камерун
NW-5026,ТУРУХАН,Зимбабве
XI-8010,ВЕКТОР АПК ООО,Корея, Народно-Демократическая Республика
Qe-6314,СиЛА,Доминиканская Республика
YI-2671,ВИМ-АВИА,Колумбия
OY-4064,Ай Флай,Гернси
FC-2898,СКОЛ,Габон
PW-2236,Амурская авиабаза,Кипр
CF-1399,Авиа Менеджмент Груп,Ирак
TY-4991,Ангара АК ЗАО,Испания
JQ-2567,Нордавиа-регион.АЛ,Ангола
BB-6458,ДОНАВИА,Индонезия
NA-4829,КрасАвиа,Белиз
DV-4458,СиЛА,Кения
VC-2337,ВОЛГА-ДНЕПР,Австралия
TO-8122,Балтийские авиалинии,Китай
FW-7942,МАЦ,Андорра
ZY-7215,Авиастар-ТУ,Аруба
NO-5578,Полярные авиалинии АО,Аргентина
VP-3667,Абакан Эир,Гондурас
RZ-3704,Уральские авиалинии,Албания
KU-5425,Ай Флай,Боливия, Многонациональное Государство
KA-2634,Аврора,Гондурас
PN-7670,Алтайские Авиалинии,Ирландия
RG-6583,Вертикаль-Т ООО,Камерун
Ce-4573,Вологодское АП,Австралия
CT-1029,Ай Флай,Гвинея
IH-9471,Сибирь,Исландия
RN-6643,Полярные авиалинии АО,Китай
HI-5262,ПАНХ АК ООО (Улан-Удэ),Бурунди
Ve-6439,Алтайские Авиалинии,Босния и Герцеговина
ZI-3153,Аэролимузин,Гренада
WV-4299,Бурал,Иран, Исламская Республика
AJ-9948,Аэрофлот ПАО,Джибути
QR-1034,ТУРУХАН,Кабо-Верде
FG-4897,РОЯЛ ФЛАЙТ,Кокосовые (Килинг) острова
RS-6700,МАЦ,Бруней-Даруссалам
VG-8830,Аэросервис (Чита),Гренландия
MN-1853,Когалымавиа ООО,Индия
FU-5286,Дельта К,Корея, Республика
UG-2227,Россия Авиакомпания АО,Багамы
LH-1324,ВИТЯЗЬ-АЭРО АК ООО,Доминиканская Республика
RY-8728,Аэросервис (Чита),Катар
CG-8430,Роствертол-Авиа, ЗАО,Кения
IC-6454,Аэросервис (Чита),Британская территория в Индийском океане
GA-2085,Ижавиа ОАО,Вьетнам
CT-3641,АЗУР эйр,Корея, Народно-Демократическая Республика
GX-4528,Таймыр ОАО,Гренландия
WV-4050,ДОНАВИА,Виргинские острова, Британские
DR-6927,ВЗЛЕТ НПО, ЗАО,Катар
eY-6949,Полярные авиалинии АО,Колумбия
eR-1700,Аэрофлот ПАО,Йемен
AD-2183,СиЛА,Гаити
PK-8697,Амурская авиабаза,Египет
TM-2225,Дальнереченск Авиа,Австрия
RL-4318,Арго,Доминика
PQ-5197,СКОЛ,Гернси
ON-5001,Уктус,Буркина-Фасо
WP-2878,Амур,Алжир
ZR-5948,Дальнереченск Авиа,Багамы
PI-1049,Псковавиа,Гуам
UW-9892,АэроБратск,Барбадос
AK-9660,МЧС России ФГУАП,Белиз
CT-5926,Ельцовка АП ЗАО,Израиль
YW-9319,Авиашельф,Багамы
NJ-6922,Дельта К,Иран, Исламская Республика
TC-2638,СиЛА,Израиль
HK-4935,АэроБратск,Андорра
CR-3939,АЛРОСА Авиакомпания АО,Кабо-Верде
Oe-4593,АЗУР эйр,Бутан
YD-7344,Арго,Гуам
eX-4068,Уктус,Иордания
YO-2048,Арго,Бенин
HI-4646,Псковавиа,Вануату
Qe-9753,Аэропорт Оренбург,Британская территория в Индийском океане
DW-7825,АэроГео,Кирибати
eZ-2774,Дельта К,Германия
RP-3606,Арго,Ирак
UW-8639,Аврора,Андорра
AH-7073,СКОЛ,Зимбабве
WQ-4330,Глобус,Джибути
YY-1195,Меридиан,Корея, Народно-Демократическая Республика
SN-1403,Космос,Вьетнам
JP-1239,Норильск Авиа,Алжир
JH-8033,Ангара АК ЗАО,Гамбия
PV-7740,СИМАРГЛ,Киргизия
DM-4412,СИМАРГЛ,Бермуды
JP-2265,ИрАэро АК АО,Казахстан
AS-2740,ЛУКОЙЛ-АВИА ООО,Коморы
XK-7783,Когалымавиа ООО,Венесуэла Боливарианская Республика
UT-7785,Ай Флай,Вьетнам
GJ-3392,Норильск Авиа,Виргинские острова, США
Me-9810,Аэросервис (Чита),Грузия
IW-4460,РусЛайн,Катар
XG-6320,РусЛайн,Ботсвана
CK-6084,Полярные авиалинии АО,Барбадос
VK-7508,Россия Авиакомпания АО,Иран, Исламская Республика
QQ-8956,Нижневартовскавиа,Корея, Народно-Демократическая Республика
AI-7210,Аэросервис (Чита),Гаити
ZF-7864,АЛРОСА Авиакомпания АО,Киргизия
XN-4310,АЭРОКУЗБАСС,Боливия, Многонациональное Государство
JT-9264,ВИТЯЗЬ-АЭРО АК ООО,Гернси
TF-5252,АЗУР эйр,Виргинские острова, США
HO-9225,Аэрофлот ПАО,Греция
RC-9038,Уральские авиалинии,Гондурас
FU-8191,БАРКОЛ,Гонконг
HS-5137,ЛУКОЙЛ-АВИА ООО,Гуам
SJ-7065,Северо-Запад,Иран, Исламская Республика
HR-9666,РУССЭЙР,Кипр
WY-7762,ПАНХ НПК ОАО,Австрия
QR-9677,СЕВЕРСТАЛЬ АП ООО,Габон
JL-6160,Аэрофлот ПАО,Белиз
NQ-7512,Таймыр ОАО,Египет
eK-7286,РОЯЛ ФЛАЙТ,Виргинские острова, США
KJ-1520,Глобус,Дания
ND-8406,СКОЛ,Гватемала
DD-2559,АэроБратск,Индонезия
VL-7822,СЕВЕРСТАЛЬ АП ООО,Зимбабве
HU-2196,Россия Авиакомпания АО,Гренландия
BT-8500,РусЛайн,Гайана
AA-9261,ДОНАВИА,Албания
TU-4941,Победа,Алжир
OW-6432,Нордавиа-регион.АЛ,Ирак
TJ-1836,Нарьян-Марский ОАО,Гернси
LX-8014,СИБИА,Китай
QP-1085,Ай Флай,Коморы
MH-6926,Комиавиатранс ОАО,Андорра
De-6867,ПАНХ АК ООО (Улан-Удэ),Гаити
CS-8490,Меридиан,Виргинские острова, Британские
RT-9963,Аэросервис (Чита),Конго, Демократическая Республика
YH-1471,Аэролимузин,Аргентина
OQ-1712,Дельта К,Киргизия
XY-1377,Ай Флай,Доминика
VF-9538,Геликс,Бразилия
YQ-1505,Ред Вингс АО,Кокосовые (Килинг) острова
IP-1233,Авиакомпания СОКОЛ,Азербайджан
NS-7800,Универсал-Авиа ГУП РК,Киргизия
NF-8958,ЛУКОЙЛ-АВИА ООО,Казахстан
Fe-8670,Конверс Авиа,Йемен
GB-3483,ВЕКТОР АПК ООО,Доминика
PI-6553,Россия СЛО,Конго, Демократическая Республика
WI-9388,ДОНАВИА,Азербайджан
ZL-4577,Нарьян-Марский ОАО,Гренландия
